issue_date,card_type,segment,status,count_issued,total_limit
2023-01-15,CREDIT,Wealth,ACTIVE,12,8500000
2023-01-15,DEBIT,Retail,ACTIVE,45,0
2023-02-20,CREDIT,Corporate,ACTIVE,8,5200000
2023-03-10,DEBIT,SME,ACTIVE,15,0
2023-04-05,CREDIT,Business,ACTIVE,6,3800000
2023-05-12,DEBIT,Retail,BLOCKED,3,0
2023-06-18,CREDIT,Wealth,ACTIVE,10,7500000
2023-07-22,DEBIT,Retail,ACTIVE,28,0
2023-08-30,CREDIT,Corporate,ACTIVE,9,6200000
2023-09-14,DEBIT,SME,ACTIVE,12,0
2023-10-08,CREDIT,Business,ACTIVE,7,4500000
2023-11-25,DEBIT,Retail,ACTIVE,32,0
2023-12-03,CREDIT,Wealth,ACTIVE,14,9000000
