card_id,customer_id,card_type,status,expiry_date,credit_limit,issue_date,segment
1001,C001,CREDIT,ACTIVE,2027-12-31,500000,2022-01-15,Wealth
1002,C002,DEBIT,ACTIVE,2026-06-30,0,2023-06-20,Retail
1003,C003,CREDIT,ACTIVE,2028-03-31,750000,2022-09-10,Corporate
1004,C004,DEBIT,BLOCKED,2025-11-30,0,2023-11-05,Retail
1005,C005,CREDIT,ACTIVE,2027-05-31,600000,2021-08-12,Business
1006,C006,DEBIT,ACTIVE,2026-09-30,0,2023-03-18,SME
1007,C007,CREDIT,EXPIRED,2024-12-31,400000,2020-12-25,Retail
1008,C008,CREDIT,ACTIVE,2029-01-31,850000,2023-02-14,Wealth
1009,C009,DEBIT,ACTIVE,2025-08-31,0,2022-10-22,Retail
1010,C010,CREDIT,ACTIVE,2027-07-31,700000,2022-04-08,Corporate
1011,C011,DEBIT,ACTIVE,2026-05-31,0,2023-07-30,SME
1012,C012,CREDIT,ACTIVE,2028-09-30,650000,2023-01-11,Business
1013,C013,DEBIT,ACTIVE,2025-12-31,0,2023-12-03,Retail
1014,C014,CREDIT,ACTIVE,2027-02-28,550000,2022-11-19,Wealth
1015,C015,DEBIT,ACTIVE,2026-04-30,0,2023-05-27,Corporate
