date,transaction_type,count,total_amount,avg_amount,status
2024-01-01,TRANSFER,234,45680000,195214,POSTED
2024-01-01,PAYMENT,156,28920000,185385,POSTED
2024-01-01,DEPOSIT,89,12450000,139888,POSTED
2024-01-02,TRANSFER,241,47120000,195519,POSTED
2024-01-02,PAYMENT,162,30680000,189259,POSTED
2024-01-02,DEPOSIT,92,13200000,143478,POSTED
2024-01-03,TRANSFER,238,46850000,196891,POSTED
2024-01-03,PAYMENT,159,29920000,188302,POSTED
2024-01-03,DEPOSIT,86,12100000,140698,POSTED
2024-01-04,TRANSFER,245,48320000,197224,POSTED
2024-01-04,PAYMENT,168,31850000,189583,POSTED
2024-01-04,DEPOSIT,95,13850000,145789,POSTED
2024-01-05,TRANSFER,239,47650000,199371,POSTED
2024-01-05,PAYMENT,165,31120000,188606,POSTED
2024-01-05,DEPOSIT,91,13050000,143407,POSTED
2024-02-15,TRANSFER,278,55680000,200288,POSTED
2024-02-15,PAYMENT,195,37050000,189744,POSTED
2024-02-15,DEPOSIT,112,16200000,144642,POSTED
2024-03-31,TRANSFER,312,62480000,200256,POSTED
2024-03-31,PAYMENT,218,41250000,189220,POSTED
2024-03-31,DEPOSIT,128,18750000,146484,POSTED
